palavra,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
a,0,0,0,0,0,0,0,0
Minas,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Mas,0,0,0,0,0,0,0,0
ao,0,0,0,0,0,0,0,0
derivar,0,0,0,0,0,0,0,0
para,0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,0,0
terras,0,0,0,0,0,0,0,0
setentrionais,0,0,0,0,0,0,0,0
diminui,0,0,0,0,0,1,0,0
gradualmente,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
altitude,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
ao,0,0,0,0,0,0,0,0
mesmo,0,0,0,0,0,0,0,0
tempo,0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
descamba,0,0,0,0,0,0,0,0
para,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
costa,0,0,0,0,0,0,0,0
oriental,0,0,0,0,0,0,0,0
em,0,0,0,0,0,0,0,0
andares,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
ou,0,0,0,0,0,0,0,0
repetidos,0,0,0,0,0,0,0,0
socalcos,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
despem,0,0,0,0,0,0,0,0
da,0,0,0,0,0,0,0,0
primitiva,0,0,0,0,0,0,0,0
grandeza,0,0,0,0,1,0,1,1
afastando-o,0,0,0,0,0,0,0,0
consideravelmente,0,0,0,0,0,0,0,0
para,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
interior,0,0,1,0,0,0,0,1
.,0,0,0,0,0,0,0,0
De,0,0,0,0,0,0,0,0
sorte,0,1,0,0,1,0,1,0
que,0,0,0,0,0,0,0,0
quem,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
contorna,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
seguindo,0,0,0,0,0,0,0,0
para,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
norte,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
observa,0,0,0,0,0,0,0,0
notáveis,0,0,0,0,0,0,0,0
mudanças,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
relevos,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
principio,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
traço,0,0,0,0,0,0,0,0
contínuo,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0
dominante,0,0,0,1,0,0,0,0
das,0,0,0,0,0,0,0,0
montanhas,0,1,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
